Date,Open,High,Low,Close,Adj Close,Volume
2020-06-25,4.180000,4.450000,4.150000,4.350000,4.350000,161000200
2020-07-02,4.430000,4.750000,4.110000,4.150000,4.150000,198515600
2020-07-09,4.140000,4.400000,4.060000,4.330000,4.330000,169581000
2020-07-16,4.270000,4.550000,4.230000,4.500000,4.500000,152372700
2020-07-23,4.480000,4.490000,4.260000,4.340000,4.340000,115134400
2020-07-30,4.220000,5.140000,4.160000,5.000000,5.000000,317775000
2020-08-06,4.970000,5.080000,4.880000,5.050000,5.050000,134758800
2020-08-13,5.030000,5.140000,4.970000,5.040000,5.040000,103720900
2020-08-20,4.990000,5.080000,4.940000,5.050000,5.050000,76325700
2020-08-27,5.020000,5.050000,4.680000,4.780000,4.780000,149645400
2020-09-03,4.710000,4.710000,4.100000,4.140000,4.140000,223059000
2020-09-10,4.190000,4.200000,4.060000,4.130000,4.130000,138602000
2020-09-17,4.080000,4.150000,3.870000,3.880000,3.880000,112441400
2020-09-24,3.850000,4.040000,3.720000,3.910000,3.910000,129758200
2020-10-01,3.910000,4.000000,3.800000,3.900000,3.900000,91187900
2020-10-08,3.900000,4.130000,3.890000,4.080000,4.080000,114009300
2020-10-15,3.990000,4.340000,3.980000,4.280000,4.280000,148137600
2020-10-22,4.300000,4.310000,4.000000,4.050000,4.050000,155563300
2020-10-29,3.440000,3.470000,3.210000,3.400000,3.400000,347251900
2020-11-05,3.510000,3.790000,3.460000,3.750000,3.750000,200090400
2020-11-12,3.750000,3.980000,3.720000,3.940000,3.940000,186087900
2020-11-19,3.860000,4.140000,3.840000,4.130000,4.130000,134920000
2020-11-26,4.120000,4.140000,3.970000,4.060000,4.060000,72987000
2020-12-03,4.030000,4.280000,3.990000,4.190000,4.190000,127710400
2020-12-10,4.130000,4.220000,3.980000,3.990000,3.990000,121863100
2020-12-17,4.090000,4.090000,3.830000,3.880000,3.880000,124649100
2020-12-24,3.900000,3.980000,3.880000,3.890000,3.890000,63333500
2020-12-31,3.880000,4.090000,3.850000,4.040000,4.040000,123283900
2021-01-07,4.010000,4.030000,3.830000,3.980000,3.980000,146170300
2021-01-14,4.120000,4.250000,4.030000,4.200000,4.200000,214301400
2021-01-21,4.180000,9.790000,4.140000,6.550000,6.550000,1849922900
2021-01-28,5.180000,5.530000,4.400000,4.700000,4.700000,1494157400
2021-02-04,4.490000,4.560000,4.100000,4.170000,4.170000,500718100
2021-02-11,4.160000,4.220000,4.050000,4.110000,4.110000,206720800
2021-02-18,4.070000,4.140000,3.830000,4.040000,4.040000,274789500
2021-02-25,4.250000,4.340000,3.910000,3.980000,3.980000,301721600
2021-03-04,3.960000,4.050000,3.750000,3.960000,3.960000,260163100
